zone,model,x_label,y_label,method,shape_label,count
CD,LPJ-GUESS,P,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1
CD,LPJ-GUESS,P,E_soil,Symbolic regression,Linear,1
CW,CLASSIC,LAI,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,LAI,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,LAI,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,LAI,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,LAI,E_soil,Piecewise linear,Linear,1
CW,CLASSIC,LAI,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,LAI,E_soil,Symbolic regression,Linear,1
CW,CLASSIC,P,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,P,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,P,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,P,E_soil,Piecewise linear,Monotonic nonlinear,1
CW,CLASSIC,P,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1
CW,CLASSIC,P,E_soil,Symbolic regression,Monotonic nonlinear,1
CW,LPJ-GUESS,LAI,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,LAI,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,LAI,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,LAI,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,LAI,E_soil,Piecewise linear,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,LAI,E_soil,Symbolic regression,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,P,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,P,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,P,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,P,E_soil,Piecewise linear,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,P,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1
CW,LPJ-GUESS,P,E_soil,Symbolic regression,Linear,1
HD,CLASSIC,LAI,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1
HD,CLASSIC,LAI,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1
